"Austen_Northanger.txt"	"Austen_Persuasion.txt"	"Austen_Pride.txt"	"Austen_Sense.txt"	"CBronte_Jane.txt"	"Dickens_Hard.txt"	"EEE_Adam.txt"
"love"	0.0556267059934542	0.0492090544660218	0.074754378470739	0.0635467444835573	0.0812304272079178	0.0308127834535353	0.123240007598256
"came"	0.0530394173425958	0.081615017163158	0.0739329017842474	0.0744165823557447	0.0929874627248533	0.0808835565655301	0.113510533314183
"tell"	0.0517457730171667	0.0396072877409443	0.0583248447409063	0.0752527237305284	0.0796271950919721	0.103030244672759	0.0949782013445207
"those"	0.0452775513900208	0.0864159005256967	0.0484671245030066	0.0409709273643988	0.0534410705315249	0.0548852705266097	0.0690329365869931
"life"	0.0556267059934542	0.0588108211910992	0.0460026944435317	0.0484961997374516	0.0839024807344941	0.0818464560484531	0.100074592636178
"hand"	0.0413966184137333	0.0276050793345976	0.0197154404757993	0.0326095136165623	0.0972627483673753	0.136731726575063	0.0889551934543804
"father"	0.085380525478325	0.11282075901966	0.0952912956330299	0.0200673929948076	0.0256517138551319	0.177173504857828	0.0347481224431173
"always"	0.112547056312337	0.132024292469814	0.0977557256925048	0.103681530473172	0.0464937313624267	0.0914754508776829	0.075519252776375
"heart"	0.0931423914309	0.0492090544660218	0.0369664508921237	0.106189954597523	0.0871089449663856	0.0510336725949178	0.075519252776375
"last"	0.0944360357563292	0.105619433975852	0.0977557256925048	0.0852864202279321	0.0924530520195381	0.0982157472581437	0.119996849503565
"mind"	0.0802059481766083	0.0768141338006193	0.0468241711300233	0.0836141374783648	0.0651981060484604	0.0962899482922978	0.109804066920251
"away"	0.116427989288625	0.0936172255695048	0.0961127723195216	0.0936478339757686	0.0785583736813416	0.120362435365372	0.12740978229143
"herself"	0.178522916909225	0.190835113660914	0.187296684520093	0.21321605056983	0.0299269994976539	0.0519965720778408	0.0616200037991281
"better"	0.0724440822240333	0.104419213135217	0.0755758551572306	0.0652190272331246	0.0673357488697214	0.106881842604451	0.114437149912666
"went"	0.0504521286917375	0.0360066252190403	0.0550389379949397	0.0409709273643988	0.0769551415653958	0.123251133814141	0.100537900935419
"long"	0.0970233244071875	0.11282075901966	0.0936483422600467	0.0852864202279321	0.127724158570344	0.0991786467410667	0.111657300117217
"many"	0.069856793573175	0.102018771453948	0.0969342490060132	0.0836141374783648	0.0358055172561217	0.0760690591509152	0.0495739880188474
